D & B Used Cars|111 Old Benbrook Rd|817-555-5555
VIN|Year|Make|Model|Type|Color|Mileage|Price
10234|2005|Toyota|Camry|sedan|Silver|154321|30.00
11245|2010|Honda|Accord|sedan|Black|128456|30.00
12356|2018|Ford|Escape|SUV|White|78234|30.00
13467|2003|Chevrolet|Silverado|truck|Blue|201112|30.00
14578|2007|Nissan|Altima|sedan|Gray|143998|30.00
15689|2011|Jeep|GrandCherokee|SUV|Red|112456|30.00
16790|2014|Hyundai|Elantra|sedan|Green|97823|30.00
17891|2019|Kia|Soul|SUV|Orange|63412|30.00
18902|2009|Mazda|CX-7|SUV|Maroon|139888|30.00
19013|2006|Ford|F-150|truck|Black|186745|30.00
20124|2012|Subaru|Impreza|sedan|Blue|121223|30.00
21235|2016|Chevrolet|Equinox|SUV|Gray|82234|30.00
22346|2008|Toyota|Tundra|truck|White|167123|30.00
23457|2020|Nissan|Rogue|SUV|Red|42112|30.00
24568|2015|Honda|CR-V|SUV|Silver|89123|30.00
25679|2013|Ford|Fusion|sedan|Blue|102345|30.00
26780|2004|Chevrolet|Trailblazer|SUV|Tan|178456|30.00
27891|2002|Dodge|Ram 1500|truck|Green|213456|30.00
28902|2000|Honda|Odyssey|van|Beige|223111|30.00
29013|2001|Ford|Focus|sedan|Red|212876|30.00
30124|2006|Mazda|6|sedan|Gray|167000|30.00
31235|2003|Nissan|Frontier|truck|Silver|188223|30.00
32346|2017|Kia|Sportage|SUV|Black|71234|30.00
33457|2011|Toyota|Corolla|sedan|Blue|122334|30.00
34568|2005|Chevrolet|Colorado|truck|Yellow|204123|30.00
35679|2014|Hyundai|Santa Fe|SUV|Red|94321|30.00
36780|2010|Dodge|Journey|SUV|Green|134123|30.00
37891|2015|Ford|Edge|SUV|Silver|87211|30.00
38902|2007|Nissan|Pathfinder|SUV|Gray|147856|30.00
39013|2009|Honda|Pilot|SUV|White|130456|30.00
40124|2013|Chevrolet|Impala|sedan|Black|119000|30.00
41235|2019|Toyota|Highlander|SUV|Blue|56456|30.00
42346|2021|Ford|Bronco|SUV|Orange|23456|30.00
43457|2008|Jeep|Liberty|SUV|Red|160789|30.00
44568|2006|Nissan|Sentra|sedan|Tan|185000|30.00
45679|2004|Mazda|B-Series|truck|Silver|198999|30.00
46780|2017|Kia|Forte|sedan|Blue|61234|30.00
47891|2010|Chevrolet|Avalanche|truck|Black|132456|30.00
48902|2001|Toyota|Sienna|van|Gray|209876|30.00
49013|1999|Ford|Taurus|sedan|Green|234567|30.00
50124|2016|Honda|HR-V|SUV|Maroon|84567|30.00
51235|2003|Chevrolet|Blazer|SUV|Red|198234|30.00
52346|2005|Nissan|Xterra|SUV|Yellow|176543|30.00
53457|2014|Subaru|Outback|SUV|Silver|99876|30.00
54568|2007|Ford|Escape|SUV|White|145678|30.00
55679|2011|Hyundai|Tucson|SUV|Blue|114567|30.00
56780|2018|Mazda|CX-5|SUV|Gray|66543|30.00
57891|2013|Kia|Sorento|SUV|Black|98345|30.00
58902|2002|Chevrolet|Express|van|White|222345|30.00
59013|2006|Dodge|Durango|SUV|Green|173456|30.00
